ref_area.label,source.label,indicator.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Bosnia and Herzegovina,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,1572.732,Break in series,,Central tendency measure: Mean or mean of the midpoints of the intervals provided | Currency: BIH - Marka (BAM) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Botswana,HS - Multi-Topic Household Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,6902.199,,,Currency: BWA - Pula (BWP),Repository: ILO-STATISTICS - Micro data processing
Brazil,HS - Continuous National Household Sample Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2024,3444.154,,,Currency: BRA - Real (BRL),Repository: ILO-STATISTICS - Micro data processing
Brunei Darussalam,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2014,1887.158,Break in series,,Currency: BRN - Brunei dollar (BND) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Bulgaria,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,1066.557,,,Currency: BGR - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Burkina Faso,LFS - Regional Integrated Survey on Employment and the Informal Sector,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,119831.322,,,Currency: BFA - West African CFA franc (XOF),Repository: ILO-STATISTICS - Micro data processing
Burundi,HIES - Living Standards Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2020,461968.172,,,Currency: BDI - Burundian franc (BIF),Repository: ILO-STATISTICS - Micro data processing
Cabo Verde,LFS - Continuous Multi-Objective Survey Employment and Labor Market Statistics,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2015,33332.483,Break in series,,Currency: CPV - Escudo (CVE) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Cambodia,HIES - Household Socio-Economic Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2021,1149011.394,,,Currency: KHM - Riel (KHR),Repository: ILO-STATISTICS - Micro data processing
Cameroon,HS - Household Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2014,153110.944,,,Currency: CMR - Central African CFA franc (XAF),Repository: ILO-STATISTICS - Micro data processing
Canada,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2024,6232.784,,,Currency: CAN - Canadian Dollar (CAD),Repository: ILO-STATISTICS - Micro data processing
Chad,HIES - Modular and Integrated Household Survey on Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2018,125376.298,,,Currency: TCD - Central African CFA franc (XAF),Repository: ILO-STATISTICS - Micro data processing
Chile,HIES - Supplemental Income Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,993483.763,,,Currency: CHL - Chilean peso (CLP),Repository: ILO-STATISTICS - Micro data processing
Colombia,LFS - Integrated Household Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2024,1946441.939,,,Currency: COL - Colombian peso (COP),Repository: ILO-STATISTICS - Micro data processing
Comoros,LFS - National Survey on Employment and the Informal Sector,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2021,114104.982,,,Currency: COM - Comorian franc (KMF),Repository: ILO-STATISTICS - Micro data processing
Congo,LFS - Employment Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2009,97524.605,Break in series,,Currency: COG - Central African CFA franc (XAF) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Urban areas only
"Congo, Democratic Republic of the",LFS - Survey on Employment and household's living conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2012,94306.63,Break in series,,Currency: COD - Congolese franc (CDF) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Cook Islands,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2019,1564.883,Break in series,,Currency: COK - New Zealand dollar (NZD) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Costa Rica,LFS - Continuous Employment Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2022,538442.401,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: CRI - Colon (CRC),Employment definition: Excluding own-use production workers
Croatia,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,1605.844,,,Currency: HRV - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Curaçao,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2018,2909.42,,,Central tendency measure: Weighted mean | Value type: Real values | Accounting concept: Net | Working time arrangement coverage: Full-time and part time workers | Currency: CUW - Netherlands Antillean Guilder (ANG),Employment definition: Including subsistence workers | Data reference period: Fourth quarter
Cyprus,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,2944.02,,,Currency: CYP - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Czechia,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,2475.027,,,Currency: CZE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Côte d'Ivoire,HIES - Living Standards Measurement Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2022,133753.888,,,Currency: CIV - West African CFA franc (XOF),Repository: ILO-STATISTICS - Micro data processing
Denmark,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,6108.578,,,Currency: DNK - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Djibouti,HS - Djiboutian Household Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2017,95293.852,Break in series,,Currency: DJI - Djiboutian franc (DJF) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Dominican Republic,LFS - Continuous National Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,27247.579,,,Currency: DOM - Dominican peso (DOP),Repository: ILO-STATISTICS - Micro data processing
Ecuador,"LFS - National Survey on Employment, Unemployment and Underemployment",Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2024,518.459,,,Currency: ECU - United States dollar (USD),Repository: ILO-STATISTICS - Micro data processing
Egypt,LFS - Labour Force Sample Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,3976.351,,,Currency: EGY - Egyptian pound (EGP),Repository: ILO-STATISTICS - Micro data processing
El Salvador,HS - Multi-purpose Household Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,1992.19,,,Currency: SLV - United States dollar (USD),Repository: ILO-STATISTICS - Micro data processing
Estonia,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,2716.815,,,Currency: EST - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Eswatini,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2021,5823.277,,,Currency: SWZ - Lilangeni (SZL),Repository: ILO-STATISTICS - Micro data processing
