,country,year,wage,sex,ISO,currency,local_currency,break
184,Argentina,2022,93993.388,M,ARG,Local,Argentine peso (ARS),False
185,Argentina,2022,1369.582,M,ARG,PPP,Argentine peso (ARS),False
186,Argentina,2022,719.613,M,ARG,USD,Argentine peso (ARS),False
187,Argentina,2022,70482.564,F,ARG,Local,Argentine peso (ARS),False
188,Argentina,2022,1027.005,F,ARG,PPP,Argentine peso (ARS),False
189,Argentina,2022,539.614,F,ARG,USD,Argentine peso (ARS),False
190,Argentina,2021,51752.749,T,ARG,Local,Argentine peso (ARS),False
191,Argentina,2021,1203.938,T,ARG,PPP,Argentine peso (ARS),False
192,Argentina,2021,544.819,T,ARG,USD,Argentine peso (ARS),False
193,Argentina,2021,58629.244,M,ARG,Local,Argentine peso (ARS),False
194,Argentina,2021,1363.907,M,ARG,PPP,Argentine peso (ARS),False
195,Argentina,2021,617.21,M,ARG,USD,Argentine peso (ARS),False
196,Argentina,2021,43757.025,F,ARG,Local,Argentine peso (ARS),False
197,Argentina,2021,1017.931,F,ARG,PPP,Argentine peso (ARS),False
198,Argentina,2021,460.645,F,ARG,USD,Argentine peso (ARS),False
199,Argentina,2020,36282.026,T,ARG,Local,Argentine peso (ARS),False
200,Argentina,2020,1209.431,T,ARG,PPP,Argentine peso (ARS),False
201,Argentina,2020,514.353,T,ARG,USD,Argentine peso (ARS),False
202,Argentina,2020,40458.771,M,ARG,Local,Argentine peso (ARS),False
203,Argentina,2020,1348.66,M,ARG,PPP,Argentine peso (ARS),False
204,Argentina,2020,573.565,M,ARG,USD,Argentine peso (ARS),False
205,Argentina,2020,31428.096,F,ARG,Local,Argentine peso (ARS),False
206,Argentina,2020,1047.63,F,ARG,PPP,Argentine peso (ARS),False
207,Argentina,2020,445.541,F,ARG,USD,Argentine peso (ARS),False
208,Argentina,2019,25562.726,T,ARG,Local,Argentine peso (ARS),False
209,Argentina,2019,1153.437,T,ARG,PPP,Argentine peso (ARS),False
210,Argentina,2019,530.921,T,ARG,USD,Argentine peso (ARS),False
211,Argentina,2019,28726.973,M,ARG,Local,Argentine peso (ARS),False
212,Argentina,2019,1296.214,M,ARG,PPP,Argentine peso (ARS),False
213,Argentina,2019,596.64,M,ARG,USD,Argentine peso (ARS),False
214,Argentina,2019,21861.66,F,ARG,Local,Argentine peso (ARS),False
215,Argentina,2019,986.438,F,ARG,PPP,Argentine peso (ARS),False
216,Argentina,2019,454.052,F,ARG,USD,Argentine peso (ARS),False
217,Argentina,2018,18457.024,T,ARG,Local,Argentine peso (ARS),False
218,Argentina,2018,1262.229,T,ARG,PPP,Argentine peso (ARS),False
219,Argentina,2018,656.951,T,ARG,USD,Argentine peso (ARS),False
220,Argentina,2018,20937.729,M,ARG,Local,Argentine peso (ARS),False
221,Argentina,2018,1431.878,M,ARG,PPP,Argentine peso (ARS),False
222,Argentina,2018,745.248,M,ARG,USD,Argentine peso (ARS),False
223,Argentina,2018,15579.87,F,ARG,Local,Argentine peso (ARS),False
224,Argentina,2018,1065.468,F,ARG,PPP,Argentine peso (ARS),False
225,Argentina,2018,554.543,F,ARG,USD,Argentine peso (ARS),False
226,Argentina,2017,14490.073,T,ARG,Local,Argentine peso (ARS),False
227,Argentina,2017,1307.518,T,ARG,PPP,Argentine peso (ARS),False
228,Argentina,2017,874.861,T,ARG,USD,Argentine peso (ARS),False
229,Argentina,2017,16382.998,M,ARG,Local,Argentine peso (ARS),False
230,Argentina,2017,1478.327,M,ARG,PPP,Argentine peso (ARS),False
231,Argentina,2017,989.15,M,ARG,USD,Argentine peso (ARS),False
232,Argentina,2017,12258.414,F,ARG,Local,Argentine peso (ARS),False
233,Argentina,2017,1106.143,F,ARG,PPP,Argentine peso (ARS),False
234,Argentina,2017,740.121,F,ARG,USD,Argentine peso (ARS),False
235,Argentina,2014,6460.093,T,ARG,Local,Argentine peso (ARS),False
236,Argentina,2014,1003.112,T,ARG,PPP,Argentine peso (ARS),False
237,Argentina,2014,799.984,T,ARG,USD,Argentine peso (ARS),False
238,Argentina,2014,7254.33,M,ARG,Local,Argentine peso (ARS),False
239,Argentina,2014,1126.44,M,ARG,PPP,Argentine peso (ARS),False
240,Argentina,2014,898.338,M,ARG,USD,Argentine peso (ARS),False
241,Argentina,2014,5446.116,F,ARG,Local,Argentine peso (ARS),False
242,Argentina,2014,845.664,F,ARG,PPP,Argentine peso (ARS),False
243,Argentina,2014,674.418,F,ARG,USD,Argentine peso (ARS),False
244,Argentina,2013,4981.156,T,ARG,Local,Argentine peso (ARS),False
245,Argentina,2013,1082.78,T,ARG,PPP,Argentine peso (ARS),False
