,ISO,country,year,sex,avg monthly earnings,local currency
281,ARG,Argentina,2006,T,1026.552,Argentine peso (ARS)
282,ARG,Argentina,2006,M,1185.819,Argentine peso (ARS)
283,ARG,Argentina,2006,F,827.057,Argentine peso (ARS)
284,ARG,Argentina,2005,T,816.306,Argentine peso (ARS)
285,ARG,Argentina,2005,M,953.885,Argentine peso (ARS)
286,ARG,Argentina,2005,F,644.352,Argentine peso (ARS)
287,ARG,Argentina,2004,T,685.086,Argentine peso (ARS)
288,ARG,Argentina,2004,M,797.288,Argentine peso (ARS)
289,ARG,Argentina,2004,F,546.02,Argentine peso (ARS)
290,ARM,Armenia,2023,T,159067.084,Dram (AMD)
291,ARM,Armenia,2023,T,983.062,Dram (AMD)
292,ARM,Armenia,2023,T,405.291,Dram (AMD)
293,ARM,Armenia,2023,M,191768.267,Dram (AMD)
294,ARM,Armenia,2023,M,1185.161,Dram (AMD)
295,ARM,Armenia,2023,M,488.611,Dram (AMD)
296,ARM,Armenia,2023,F,121840.729,Dram (AMD)
297,ARM,Armenia,2023,F,752.997,Dram (AMD)
298,ARM,Armenia,2023,F,310.441,Dram (AMD)
299,ARM,Armenia,2022,T,142818.811,Dram (AMD)
300,ARM,Armenia,2022,T,864.538,Dram (AMD)
301,ARM,Armenia,2022,T,327.817,Dram (AMD)
302,ARM,Armenia,2022,M,171843.358,Dram (AMD)
303,ARM,Armenia,2022,M,1040.234,Dram (AMD)
304,ARM,Armenia,2022,M,394.438,Dram (AMD)
305,ARM,Armenia,2022,F,109879.633,Dram (AMD)
306,ARM,Armenia,2022,F,665.144,Dram (AMD)
307,ARM,Armenia,2022,F,252.211,Dram (AMD)
308,ARM,Armenia,2021,T,130559.108,Dram (AMD)
309,ARM,Armenia,2021,T,794.994,Dram (AMD)
310,ARM,Armenia,2021,T,259.164,Dram (AMD)
311,ARM,Armenia,2021,M,158052.93,Dram (AMD)
312,ARM,Armenia,2021,M,962.408,Dram (AMD)
313,ARM,Armenia,2021,M,313.74,Dram (AMD)
314,ARM,Armenia,2021,F,104116.368,Dram (AMD)
315,ARM,Armenia,2021,F,633.98,Dram (AMD)
316,ARM,Armenia,2021,F,206.674,Dram (AMD)
317,ARM,Armenia,2020,T,125733.844,Dram (AMD)
318,ARM,Armenia,2020,T,793.885,Dram (AMD)
319,ARM,Armenia,2020,T,257.12,Dram (AMD)
320,ARM,Armenia,2020,M,151655.781,Dram (AMD)
321,ARM,Armenia,2020,M,957.557,Dram (AMD)
322,ARM,Armenia,2020,M,310.129,Dram (AMD)
323,ARM,Armenia,2020,F,100066.646,Dram (AMD)
324,ARM,Armenia,2020,F,631.822,Dram (AMD)
325,ARM,Armenia,2020,F,204.632,Dram (AMD)
326,ARM,Armenia,2019,T,119804.028,Dram (AMD)
327,ARM,Armenia,2019,T,736.883,Dram (AMD)
328,ARM,Armenia,2019,T,249.36,Dram (AMD)
329,ARM,Armenia,2019,M,144778.041,Dram (AMD)
330,ARM,Armenia,2019,M,890.492,Dram (AMD)
331,ARM,Armenia,2019,M,301.342,Dram (AMD)
332,ARM,Armenia,2019,F,92487.175,Dram (AMD)
333,ARM,Armenia,2019,F,568.864,Dram (AMD)
334,ARM,Armenia,2019,F,192.503,Dram (AMD)
335,ARM,Armenia,2017,T,103505.383,Dram (AMD)
336,ARM,Armenia,2017,T,621.732,Dram (AMD)
337,ARM,Armenia,2017,T,214.423,Dram (AMD)
338,ARM,Armenia,2017,M,122056.875,Dram (AMD)
339,ARM,Armenia,2017,M,733.167,Dram (AMD)
340,ARM,Armenia,2017,M,252.854,Dram (AMD)
341,ARM,Armenia,2017,F,84423.741,Dram (AMD)
342,ARM,Armenia,2017,F,507.113,Dram (AMD)
343,ARM,Armenia,2017,F,174.893,Dram (AMD)
344,ARM,Armenia,2016,T,99931.079,Dram (AMD)
345,ARM,Armenia,2016,T,577.538,Dram (AMD)
346,ARM,Armenia,2016,T,207.978,Dram (AMD)
347,ARM,Armenia,2016,M,119163.433,Dram (AMD)
348,ARM,Armenia,2016,M,688.689,Dram (AMD)
349,ARM,Armenia,2016,M,248.005,Dram (AMD)
350,ARM,Armenia,2016,F,79541.311,Dram (AMD)
351,ARM,Armenia,2016,F,459.698,Dram (AMD)
352,ARM,Armenia,2016,F,165.543,Dram (AMD)
353,ARM,Armenia,2015,T,100331.238,Dram (AMD)
354,ARM,Armenia,2015,T,541.718,Dram (AMD)
355,ARM,Armenia,2015,T,209.934,Dram (AMD)
356,ARM,Armenia,2015,M,119184.393,Dram (AMD)
357,ARM,Armenia,2015,M,643.511,Dram (AMD)
358,ARM,Armenia,2015,M,249.382,Dram (AMD)
359,ARM,Armenia,2015,F,79546.827,Dram (AMD)
360,ARM,Armenia,2015,F,429.497,Dram (AMD)
361,ARM,Armenia,2015,F,166.444,Dram (AMD)
362,ARM,Armenia,2014,T,95690.029,Dram (AMD)
363,ARM,Armenia,2014,T,521.183,Dram (AMD)
364,ARM,Armenia,2014,T,230.068,Dram (AMD)
365,ARM,Armenia,2014,M,114809.237,Dram (AMD)
366,ARM,Armenia,2014,M,625.317,Dram (AMD)
367,ARM,Armenia,2014,M,276.037,Dram (AMD)
368,ARM,Armenia,2014,F,74654.281,Dram (AMD)
369,ARM,Armenia,2014,F,406.61,Dram (AMD)
370,ARM,Armenia,2014,F,179.492,Dram (AMD)
371,ARM,Armenia,2013,T,93306.883,Dram (AMD)
372,ARM,Armenia,2013,T,522.03,Dram (AMD)
373,ARM,Armenia,2013,T,227.786,Dram (AMD)
374,ARM,Armenia,2013,M,110849.243,Dram (AMD)
375,ARM,Armenia,2013,M,620.175,Dram (AMD)
376,ARM,Armenia,2013,M,270.611,Dram (AMD)
377,ARM,Armenia,2013,F,70296.765,Dram (AMD)
378,ARM,Armenia,2013,F,393.294,Dram (AMD)
379,ARM,Armenia,2013,F,171.612,Dram (AMD)
380,ARM,Armenia,2012,T,88760.389,Dram (AMD)
381,ARM,Armenia,2012,T,561.503,Dram (AMD)
382,ARM,Armenia,2012,T,220.927,Dram (AMD)
383,ARM,Armenia,2012,M,105034.109,Dram (AMD)
384,ARM,Armenia,2012,M,664.452,Dram (AMD)
385,ARM,Armenia,2012,M,261.432,Dram (AMD)
