ref_area.label,source.label,indicator.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Bhutan,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,335.153,,,Currency: BTN - Ngultrum (BTN),Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),LFS - Continuous Employment Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,496.03,,,Currency: BOL - Bolivian (BOB),Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,869.296,Break in series,,Central tendency measure: Mean or mean of the midpoints of the intervals provided | Currency: BIH - Marka (BAM) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Botswana,HS - Multi-Topic Household Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,507.65,,,Currency: BWA - Pula (BWP),Repository: ILO-STATISTICS - Micro data processing
Brazil,HS - Continuous National Household Sample Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,622.846,,,Currency: BRA - Real (BRL),Repository: ILO-STATISTICS - Micro data processing
Brunei Darussalam,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2014,1489.423,Break in series,,Currency: BRN - Brunei dollar (BND) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Bulgaria,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,1153.234,,,Currency: BGR - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Burkina Faso,LFS - Regional Integrated Survey on Employment and the Informal Sector,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,197.556,,,Currency: BFA - West African CFA franc (XOF),Repository: ILO-STATISTICS - Micro data processing
Burundi,HIES - Living Standards Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2020,241.231,,,Currency: BDI - Burundian franc (BIF),Repository: ILO-STATISTICS - Micro data processing
Cabo Verde,LFS - Continuous Multi-Objective Survey Employment and Labor Market Statistics,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2015,335.385,Break in series,,Currency: CPV - Escudo (CVE) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
