,ISO,year,country,T,M,F,ratio,break,female_share,male_share,balanced_avg,balanced_ratio
3656,IDN,2005,Indonesia,850790.049,929171.431,684004.726,0.7361448094286059,False,0.31970647074609904,0.680293529253901,806588.0785000001,0.8480223601519545
3659,IDN,2006,Indonesia,995447.946,1080356.21,824098.171,0.7628022714841431,False,0.33133892825894906,0.6686610717410509,952227.1905,0.8654428052692746
3662,IDN,2007,Indonesia,1075350.928,1163855.841,892041.457,0.7664535637279154,False,0.3256079082260781,0.6743920917739219,1027948.649,0.8677879560110207
3665,IDN,2008,Indonesia,1139076.349,1235559.88,950420.206,0.7692222945924726,True,0.3383728740603105,0.6616271259396895,1092990.043,0.869559802568119
3668,IDN,2009,Indonesia,1305004.134,1422047.951,1082934.459,0.7615316053431732,False,0.3451464473138682,0.6548535526861319,1252491.205,0.8646244018935046
3671,IDN,2010,Indonesia,1373249.226,1492223.425,1154074.91,0.7733928382742014,False,0.35184007535860384,0.6481599246413962,1323149.1675,0.8722182943141216
3674,IDN,2011,Indonesia,1331778.138,1428567.257,1130844.123,0.7915931976312963,False,0.3250977433282021,0.6749022566717979,1279705.69,0.8836751542458172
3677,IDN,2012,Indonesia,1416851.816,1514927.804,1214266.183,0.8015340267660702,False,0.3262005562060077,0.6737994437939923,1364596.9934999999,0.8898350126696216
3680,IDN,2013,Indonesia,1575305.674,1688280.351,1341639.695,0.7946782619399212,True,0.32591294484510763,0.6740870551548923,1514960.023,0.8855941243539995
3683,IDN,2014,Indonesia,1703837.072,1833700.772,1432955.804,0.7814556365361011,False,0.3240557221419687,0.6759442778580314,1633328.2880000002,0.877322590031576
3686,IDN,2015,Indonesia,1818033.31,1923907.864,1597587.138,0.8303865106504913,False,0.3244493700960937,0.6755506299039062,1760747.5010000002,0.9073346048156623
3689,IDN,2016,Indonesia,2125593.661,2271850.423,1830763.079,0.805846661587192,False,0.331582313547405,0.668417686452595,2051306.751,0.892486254485105
3692,IDN,2017,Indonesia,2433700.752,2620257.918,2061855.943,0.7868904541175018,False,0.3340911643444674,0.6659088356555326,2341056.9305,0.8807372072577626
3695,IDN,2018,Indonesia,2465848.915,2658234.116,2083532.238,0.7838031366233508,False,0.33475652049287347,0.6652434795071265,2370883.177,0.878800043044044
3698,IDN,2019,Indonesia,2589312.729,2796506.274,2181905.693,0.7802255669103497,False,0.3371190190918487,0.6628809809081513,2489205.9835,0.8765468617153515
3701,IDN,2020,Indonesia,2561509.932,2752550.31,2186555.669,0.7943744610430028,False,0.3375303654155978,0.6624696345844022,2469552.9895,0.8854054471788041
3704,IDN,2021,Indonesia,2511508.115,2679556.797,2177332.312,0.8125718083071483,True,0.33460869993226156,0.6653913000677385,2428444.5544999996,0.8965954392350942
3707,IDN,2022,Indonesia,2690034.686,2895368.449,2269099.996,0.783699911071318,False,0.32786860333838297,0.672131396661617,2582234.2225,0.8787351574185094
3710,IDN,2023,Indonesia,2776803.875,3007410.446,2307995.085,0.767436013953381,False,0.32971333467753217,0.6702866653224678,2657702.7654999997,0.868417309475084
