ref_area.label,source.label,indicator.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Mauritius,LFS - Continuous Multi-Purpose Household Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,12626.212,,,Currency: MUS - Mauritian rupee (MUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Mexico,LFS - National Occupation and Employment Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,7985.893,,,Currency: MEX - New Peso (MXN),Repository: ILO-STATISTICS - Micro data processing
Mongolia,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,1063998.79,,,Currency: MNG - Tögrög (MNT),Repository: ILO-STATISTICS - Micro data processing
Montenegro,ES - Structure of Earnings Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2014,692.0,,,Currency: MNE - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Myanmar,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2020,173165.369,,,Currency: MMR - Kyat (MMK),Repository: ILO-STATISTICS - Micro data processing | Data reference period: First semester
Namibia,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2018,6820.226,,,Currency: NAM - Namibian dollar (NAD),Repository: ILO-STATISTICS - Micro data processing
Nepal,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2017,13629.275,Break in series,,Currency: NPL - Nepalese rupee (NPR) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Netherlands,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,4248.751,,,Currency: NLD - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Netherlands Antilles,ADM - Other Administrative records and related sources,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,1986,1251.0,,Nonstandard economic activity: Excluding agriculture,Working time concept: Hours actually worked | Currency: ANT - Netherlands Antillean guilder (ANG),Reference group coverage: Employees
New Caledonia,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2017,205187.319,,,Currency: NCL - CFP franc (XPF),Repository: ILO-STATISTICS - Micro data processing
New Zealand,ADM - Linked employer-employee data,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2022,5100.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: NZL - New Zealand dollar (NZD),"Data reference period: End of the year | Geographical coverage: Total national, excluding overseas territories | Reference group coverage: Employees"
Nicaragua,HIES - National Household Survey on Measuring Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2014,10791.913,Break in series,,Currency: NIC - Cordoba (NIO) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Niger,HIES - National Survey on Household Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2022,68605.921,,,Currency: NER - West African CFA franc (XOF),Repository: ILO-STATISTICS - Micro data processing
Nigeria,HIES - Socio Economic Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2019,34042.288,Break in series,,Currency: NGA - Naira (NGN) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
North Macedonia,ES - Structure of Earnings Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2014,28760.0,,,Currency: MKD - Denar (MKD),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Norway,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,5132.92,,,Currency: NOR - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Occupied Palestinian Territory,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2022,2288.269,,,Currency: PSE - New Shekel (ILS),Repository: ILO-STATISTICS - Micro data processing
