ref_area.label,source.label,indicator.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Namibia,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2018,950.599,,,Currency: NAM - Namibian dollar (NAD),Repository: ILO-STATISTICS - Micro data processing
Nepal,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2017,449.034,Break in series,,Currency: NPL - Nepalese rupee (NPR) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Netherlands,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,5282.217,,,Currency: NLD - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
New Caledonia,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2017,1625.84,,,Currency: NCL - CFP franc (XPF),Repository: ILO-STATISTICS - Micro data processing
New Zealand,ADM - Linked employer-employee data,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2022,3457.608,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: NZL - New Zealand dollar (NZD),"Data reference period: End of the year | Geographical coverage: Total national, excluding overseas territories | Reference group coverage: Employees"
Nicaragua,HIES - National Household Survey on Measuring Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2014,1033.188,Break in series,,Currency: NIC - Cordoba (NIO) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Niger,HIES - National Survey on Household Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2022,337.475,,,Currency: NER - West African CFA franc (XOF),Repository: ILO-STATISTICS - Micro data processing
Nigeria,HIES - Socio Economic Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2019,257.045,Break in series,,Currency: NGA - Naira (NGN) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
North Macedonia,ES - Structure of Earnings Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2014,1248.463,,,Currency: MKD - Denar (MKD),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Norway,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,5139.144,,,Currency: NOR - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Pakistan,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2021,470.764,,,Currency: PAK - Pakistani rupee (PKR),Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year
Palau,PC - Population Census,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2000,857.94,,,Currency: PLW - United States dollar (USD),Repository: ILO-STATISTICS - Micro data processing
Panama,LFS - Labour Market Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,1759.746,,,Currency: PAN - Balboa (PAB),Repository: ILO-STATISTICS - Micro data processing | Data reference period: October
Paraguay,HS - Continuous Permanent Household Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,967.7,,,Currency: PRY - Guarani (PYG),Repository: ILO-STATISTICS - Micro data processing
Peru,"LFS - Permanent Employment Survey, National",Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,802.557,,,Currency: PER - Nuevo sol (PEN),Repository: ILO-STATISTICS - Micro data processing
Philippines,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2022,840.786,,,Currency: PHL - Philippine peso (PHP),Repository: ILO-STATISTICS - Micro data processing
Poland,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,2333.343,,,Currency: POL - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Portugal,LFS - Employment Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2024,1785.171,,,Currency: PRT - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Qatar,LFS - Labor Force Sample Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2022,4322.715,,,Value type: Real values | Working time arrangement coverage: Full-time and part time workers | Currency: QAT - Qatari riyal (QAR),Employment definition: Excluding own-use production workers
Republic of Korea,ES - Survey on labor conditions by employment type,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2022,3353.263,,,Working time arrangement coverage: Full-time and part time workers | Currency: KOR - South Korean won (KRW),Data reference period: June | Institutional sector coverage: Private sector only | Economic activity coverage: Excluding public administration | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 5 employees
Republic of Moldova,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,730.9,,,Currency: MDA - Moldovan leu (MDL),Repository: ILO-STATISTICS - Micro data processing
Romania,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,2309.742,,,Currency: ROU - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Russian Federation,ES - Establishments sample Survey on employees' wages by Occupation,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2021,1886.74,,,Working time arrangement coverage: Full-time and part time workers | Currency: RUS - Russian ruble (RUB),"Data reference period: October | Geographical coverage: Total national, excluding some areas"
Rwanda,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,113.122,,,Currency: RWA - Rwandan franc (RWF),Repository: ILO-STATISTICS - Micro data processing
Samoa,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2022,910.197,Break in series,,Components of earnings/wages: Excluding payments in kind | Currency: WSM - Tala (WST) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Senegal,HIES - Harmonized Survey on Household Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2022,388.98,,,Currency: SEN - West African CFA franc (XOF),Repository: ILO-STATISTICS - Micro data processing
Serbia,HIES - Survey on Income and living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2022,1535.756,,,Currency: SRB - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Singapore,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2021,4190.15,,,Central tendency measure: Median | Job coverage: Main job currently held | Working time arrangement coverage: Full-time workers | Currency: SGP - Singapore dollar (SGD),"Data reference period: June | Population coverage: Nationals, residents"
Slovakia,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,2100.191,,,Currency: SVK - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Slovenia,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,4116.413,,,Currency: SVN - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Solomon Islands,HIES - Household Income and Expenditure Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2005,2370.221,,,Currency: SLB - Solomon Islands dollar (SBD),Repository: ILO-STATISTICS - Micro data processing
South Africa,HIES - National Income Dynamic Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2020,828.674,,,Currency: ZAF - Rand (ZAR),Repository: ILO-STATISTICS - Micro data processing
